yearID,G,W,L,R,AB,H,2B,3B,HR,BB,SO,SB,CS,HBP,SF,RA,ER,ERA,CG,SHO,SV,IPouts,HA,HRA,BBA,SOA,E,DP,FP
1888.0,136.5,66.9375,66.9375,664.25,4714.9375,1125.0,153.1875,65.875,32.5625,295.4375,514.5,328.75,nan,nan,nan,664.25,393.875,2.954375,131.375,9.625,0.5625,3610.5,1125.0,32.5625,295.375,514.625,467.9375,nan,0.914375
1889.0,136.25,66.5,66.5,811.625,4779.875,1256.625,188.4375,67.6875,41.6875,457.25,479.3125,301.0,nan,nan,nan,811.625,519.1875,3.93875,120.5625,5.6875,2.25,3565.6875,1257.1875,41.6875,457.25,480.3125,465.5,nan,0.914375
1890.0,128.64,63.24,63.24,773.2,4520.6,1176.4,167.8,75.6,30.4,468.04,432.0,274.16,nan,nan,nan,773.2,484.72,3.9068000000000005,114.96,5.4,1.84,3372.72,1175.28,30.4,467.96,437.04,426.24,nan,0.9164000000000001
1891.0,130.7058823529412,64.11764705882354,64.11764705882354,745.1176470588235,4576.0,1161.5882352941176,155.1764705882353,74.6470588235294,34.529411764705884,473.5882352941176,451.11764705882354,245.41176470588235,nan,nan,nan,745.1176470588235,449.52941176470586,3.486470588235294,111.88235294117646,5.823529411764706,2.588235294117647,3437.470588235294,1161.5882352941176,34.529411764705884,473.0,451.11764705882354,415.52941176470586,nan,0.9211764705882352
1892.0,153.5,75.25,75.25,782.3333333333334,5323.0,1302.5,167.25,84.16666666666667,34.75,514.8333333333334,496.25,266.75,nan,nan,nan,782.3333333333334,489.75,3.2875,135.25,7.5,2.0,4025.75,1302.5833333333333,34.75,514.8333333333334,496.25,464.5833333333333,nan,0.9225
1893.0,130.83333333333334,64.41666666666667,64.41666666666667,859.5833333333334,4741.5,1326.25,183.08333333333334,87.25,38.333333333333336,511.8333333333333,278.25,229.33333333333334,nan,nan,nan,859.5833333333334,598.0833333333334,4.673333333333333,107.83333333333333,3.5833333333333335,2.6666666666666665,3465.5,1326.25,38.333333333333336,511.8333333333333,278.25,381.0,nan,0.9274999999999999
1894.0,132.16666666666666,65.25,65.25,973.1666666666666,4761.916666666667,1471.8333333333333,227.83333333333334,107.25,52.25,483.9166666666667,275.3333333333333,259.4166666666667,nan,nan,nan,973.1666666666666,675.75,5.322500000000001,107.5,2.5833333333333335,2.9166666666666665,3432.0,1471.8333333333333,52.25,483.9166666666667,275.3333333333333,400.1666666666667,nan,0.9216666666666667
1895.0,132.66666666666666,65.25,65.25,873.5,4714.666666666667,1396.9166666666667,200.58333333333334,82.83333333333333,40.333333333333336,425.0833333333333,300.1666666666667,240.66666666666666,nan,nan,nan,873.5,608.0833333333334,4.780833333333333,106.83333333333333,3.8333333333333335,3.75,3437.0,1396.9166666666667,40.333333333333336,425.1666666666667,300.1666666666667,383.5833333333333,nan,0.9266666666666666
1896.0,132.0,64.83333333333333,64.83333333333333,796.25,4630.916666666667,1344.6666666666667,180.5,83.75,33.666666666666664,404.5,293.5,254.75,nan,nan,nan,796.25,554.75,4.361666666666667,108.83333333333333,4.75,2.3333333333333335,3439.25,1344.6666666666667,33.666666666666664,404.5,293.5,339.4166666666667,nan,0.9341666666666666
1897.0,134.83333333333334,65.66666666666667,65.66666666666667,793.3333333333334,4711.5,1374.9166666666667,193.25,80.33333333333333,30.583333333333332,393.0,310.5833333333333,224.66666666666666,nan,nan,nan,793.3333333333334,556.5,4.3125,113.25,4.25,2.1666666666666665,3491.25,1374.9166666666667,30.583333333333332,393.0,310.5833333333333,334.5833333333333,nan,0.9358333333333332
1898.0,153.5,74.75,74.75,760.75,5221.75,1412.9166666666667,174.0,75.0,24.916666666666668,424.3333333333333,353.9166666666667,172.41666666666666,nan,nan,nan,760.75,531.9166666666666,3.606666666666667,134.08333333333334,7.25,1.4166666666666667,3987.75,1412.9166666666667,24.916666666666668,424.3333333333333,353.9166666666667,364.1666666666667,nan,0.9366666666666665
1899.0,153.5,75.25,75.25,803.9166666666666,5226.166666666667,1475.5833333333333,182.75,84.0,29.166666666666668,414.3333333333333,321.3333333333333,222.16666666666666,nan,nan,nan,803.9166666666666,564.8333333333334,3.8633333333333333,132.41666666666666,7.583333333333333,2.6666666666666665,3960.75,1475.5833333333333,29.166666666666668,414.3333333333333,321.3333333333333,369.0833333333333,nan,0.9358333333333332
1900.0,142.25,69.25,69.25,741.5,4891.5,1365.625,179.0,75.875,31.75,379.25,337.125,210.75,nan,nan,nan,741.5,508.375,3.695,116.875,8.5,1.5,3716.625,1365.625,31.75,379.25,337.125,344.375,104.25,0.9374999999999998
1901.0,138.75,68.4375,68.4375,691.75,4819.0625,1309.8125,183.1875,77.375,28.4375,341.5625,436.0625,178.1875,nan,nan,nan,691.75,473.0625,3.49125,119.5625,7.75,2.25,3663.1875,1309.8125,28.4375,341.5625,436.0625,331.6875,95.625,0.9399999999999996
1902.0,139.375,68.3125,68.3125,617.6875,4759.4375,1269.8125,176.9375,61.4375,22.25,339.6875,414.9375,167.3125,nan,nan,nan,617.6875,433.375,3.17875,121.9375,10.0,2.125,3691.3125,1269.8125,22.25,339.6875,414.9375,292.8125,99.125,0.9443749999999997
1903.0,139.25,68.6875,68.6875,618.25,4714.9375,1236.0,189.625,72.5625,20.9375,335.5625,524.875,170.9375,nan,nan,nan,618.25,424.375,3.114375,119.3125,10.5,3.125,3682.125,1235.625,20.9375,340.3125,497.875,287.6875,88.0,0.9456249999999997
